DATA;ESTADO;CASOS NOVOS;CASOS TOTAIS;ÓBITOS NOVOS;ÓBITOS TOTAIS;;;;
02/07/2022;ES;0;0;0;0;;;;
02/07/2022;GO;0;0;0;0;;;;
02/07/2022;MA;0;0;0;0;;;;
02/07/2022;MT;0;0;0;0;;;;
02/07/2022;MS;0;0;0;0;;;;
02/07/2022;MG;1;2;0;0;;;;
02/07/2022;PA;0;0;0;0;;;;
02/07/2022;PB;0;0;0;0;;;;
02/07/2022;PR;0;0;0;0;;;;
02/07/2022;PE;0;0;0;0;;;;
02/07/2022;PI;0;0;0;0;;;;
02/07/2022;RJ;3;16;0;0;;;;
02/07/2022;RN;0;1;0;0;;;;
02/07/2022;RS;0;2;0;0;;;;
02/07/2022;RO;0;0;0;0;;;;
02/07/2022;RR;0;0;0;0;;;;
02/07/2022;SC;0;0;0;0;;;;
02/07/2022;SP;7;52;0;0;;;;
02/07/2022;SE;0;0;0;0;;;;
02/07/2022;TO;0;0;0;0;;;;
03/07/2022;AC;0;0;0;0;;;;
03/07/2022;AL;0;0;0;0;;;;
03/07/2022;AP;0;0;0;0;;;;
03/07/2022;AM;0;0;0;0;;;;
03/07/2022;BA;0;0;0;0;;;;
03/07/2022;CE;0;2;0;0;;;;
03/07/2022;DF;0;1;0;0;;;;
03/07/2022;ES;0;0;0;0;;;;
03/07/2022;GO;0;0;0;0;;;;
03/07/2022;MA;0;0;0;0;;;;
03/07/2022;MT;0;0;0;0;;;;
03/07/2022;MS;0;0;0;0;;;;
03/07/2022;MG;1;3;0;0;;;;
03/07/2022;PA;0;0;0;0;;;;
03/07/2022;PB;0;0;0;0;;;;
03/07/2022;PR;1;1;0;0;;;;
03/07/2022;PE;0;0;0;0;;;;
03/07/2022;PI;0;0;0;0;;;;
03/07/2022;RJ;0;16;0;0;;;;
03/07/2022;RN;0;1;0;0;;;;
03/07/2022;RS;0;2;0;0;;;;
03/07/2022;RO;0;0;0;0;;;;
03/07/2022;RR;0;0;0;0;;;;
03/07/2022;SC;0;0;0;0;;;;
03/07/2022;SP;0;52;0;0;;;;
03/07/2022;SE;0;0;0;0;;;;
03/07/2022;TO;0;0;0;0;;;;
04/07/2022;AC;0;0;0;0;;;;
04/07/2022;AL;0;0;0;0;;;;
04/07/2022;AP;0;0;0;0;;;;
04/07/2022;AM;0;0;0;0;;;;
04/07/2022;BA;0;0;0;0;;;;
04/07/2022;CE;0;2;0;0;;;;
04/07/2022;DF;0;1;0;0;;;;
04/07/2022;ES;0;0;0;0;;;;
04/07/2022;GO;0;0;0;0;;;;
04/07/2022;MA;0;0;0;0;;;;
04/07/2022;MT;0;0;0;0;;;;
04/07/2022;MS;0;0;0;0;;;;
04/07/2022;MG;0;3;0;0;;;;
04/07/2022;PA;0;0;0;0;;;;
04/07/2022;PB;0;0;0;0;;;;
04/07/2022;PR;0;1;0;0;;;;
04/07/2022;PE;0;0;0;0;;;;
04/07/2022;PI;0;0;0;0;;;;
04/07/2022;RJ;2;18;0;0;;;;
04/07/2022;RN;0;1;0;0;;;;
04/07/2022;RS;0;2;0;0;;;;
04/07/2022;RO;0;0;0;0;;;;
04/07/2022;RR;0;0;0;0;;;;
04/07/2022;SC;0;0;0;0;;;;
04/07/2022;SP;0;52;0;0;;;;
04/07/2022;SE;0;0;0;0;;;;
04/07/2022;TO;0;0;0;0;;;;
05/07/2022;AC;0;0;0;0;;;;
05/07/2022;AL;0;0;0;0;;;;
05/07/2022;AP;0;0;0;0;;;;
05/07/2022;AM;0;0;0;0;;;;
05/07/2022;BA;0;0;0;0;;;;
05/07/2022;CE;0;2;0;0;;;;
05/07/2022;DF;0;1;0;0;;;;
05/07/2022;ES;0;0;0;0;;;;
05/07/2022;GO;0;0;0;0;;;;
05/07/2022;MA;0;0;0;0;;;;
